"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1266","579","true","chrome","117.0.0","false","Windows 10","true","60.59","true","true","browser-check","0","997","0.0-0.0","0","100","30","20","","20","30","20","30","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4086","0.0-1.0","0","100","30","20","","20","30","20","30","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","30477","0.0-2.0","0","100","30","20","","20","30","20","30","20","","26323","{""prolific_id"":""6109abb062fe8ee2fe5b6c6a"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","52728","0.0-4.0","0","100","30","20","","20","30","20","30","20","","22250","","","[{""page_index"":0,""viewing_time"":22249}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","64517","0.0-5.0-0.0","0","100","30","20","","20","30","20","30","20","","11469","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","70449","0.0-5.1-0.1","0","100","30","20","","20","30","20","30","20","","5931","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","109937","0.0-7.0","0","100","30","20","","20","30","20","30","20","","39487","","","[{""page_index"":0,""viewing_time"":39486}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","110319","0.0-8.0","0","100","30","20","","20","30","20","30","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","175689","0.0-9.0","0","100","30","20","","20","30","20","30","20","","65369"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","219891","0.0-10.0","0","100","30","20","","20","30","20","30","20","","221811","{""firewalker"":""30""}","","","","","","","","firstbet","no","native","fluent","21","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","262855","0.0-11.0","0","100","30","20","","20","30","20","30","20","","264732","{""firewalker"":"""",""blackblade"":""20""}","","","","","","","","secondbet","no","native","disfluent","21","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","298904","0.0-12.0","0","100","30","20","","20","30","20","30","20","","300737","{""firewalker"":"""",""blackblade"":"""",""silversky"":""30""}","","","","","","","","thirdbet","no","nonnative","fluent","21","silversky"
"","","","","","","","","","","","audio-survey-input-response","12","341283","0.0-13.0","0","100","30","20","","20","30","20","30","20","","343080","{""firewalker"":"""",""blackblade"":"""",""silversky"":"""",""apocalypse"":""20""}","","","","","","","","forthbet","no","nonnative","disfluent","21","apocalypse"
"","","","","","","","","","","","survey-html-form","13","362746","0.0-14.0-0.0-0.0","0","100","30","20","","20","30","20","30","20","","21458","{""firewalker"":""30"",""blackblade"":""20"",""silversky"":""30"",""apocalypse"":""20""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","367938","0.0-15.0","0","100","30","20","","20","30","20","30","20","","5190","","","[{""page_index"":0,""viewing_time"":5189}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","456674","0.0-16.0","0","100","30","20","","20","30","20","30","20","","88679","{""P0_Q0"":null,""irritated_native"":1,""interested_native"":7,""enthusiastic_native"":7,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":5,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":9,""fluent_native"":8,""strong_native"":5,""P2_Q0"":null,""sociable_native"":6,""friendly_native"":7,""nice_native"":8,""honest_native"":7,""pleasant_native"":7,""P3_Q0"":null,""competent_native"":7,""smart_native"":7,""educated_native"":7,""intelligent_native"":7,""successful_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","16","542577","0.0-17.0","0","100","30","20","","20","30","20","30","20","","85870","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":7,""fluent_nonnative"":7,""strong_nonnative"":7,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":7,""nice_nonnative"":8,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":8,""P3_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":7,""enthusiastic_nonnative"":6,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","17","740665","0.0-18.0","0","100","30","20","","20","30","20","30","20","","198056","{""P0_Q0"":null,""country_native"":""cotswolds"",""country_nonnative"":""spain"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":5,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":1,""decision_making"":""off where they talked about the horses latest form"",""P2_Q4"":""to see who people trusted more based off accent"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
