"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1232","598","true","edge-chromium","117.0.2045","false","Windows 10","true","60.25","true","true","browser-check","0","1004","0.0-0.0","0","100","30","20","","30","30","20","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3293","0.0-1.0","0","100","30","20","","30","30","20","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","23893","0.0-2.0","0","100","30","20","","30","30","20","20","30","","20530","{""prolific_id"":""5a7226d9f660ae0001a9a547"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","28184","0.0-4.0","0","100","30","20","","30","30","20","20","30","","4290","","","[{""page_index"":0,""viewing_time"":4290}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","37249","0.0-5.0-0.0","0","100","30","20","","30","30","20","20","30","","8821","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","45751","0.0-5.1-0.1","0","100","30","20","","30","30","20","20","30","","8501","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","65863","0.0-7.0","0","100","30","20","","30","30","20","20","30","","20111","","","[{""page_index"":0,""viewing_time"":20111}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","66385","0.0-8.0","0","100","30","20","","30","30","20","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","83715","0.0-9.0","0","100","30","20","","30","30","20","20","30","","17329","arrowdown","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","137118","0.0-10.0","0","100","30","20","","30","30","20","20","30","","139372","{""silversky"":""25""}","","","","","","","","firstbet","no","native","disfluent","23","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","200722","0.0-11.0","0","100","30","20","","30","30","20","20","30","","202922","{""silversky"":"""",""apocalypse"":""20""}","","","","","","","","secondbet","no","nonnative","disfluent","23","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","236230","0.0-12.0","0","100","30","20","","30","30","20","20","30","","238366","{""silversky"":"""",""apocalypse"":"""",""firewalker"":""20""}","","","","","","","","thirdbet","no","native","fluent","23","firewalker"
"","","","","","","","","","","","audio-survey-input-response","12","291228","0.0-13.0","0","100","30","20","","30","30","20","20","30","","293327","{""silversky"":""30"",""apocalypse"":"""",""firewalker"":"""",""blackblade"":""30""}","","","","","","","","forthbet","no","nonnative","fluent","23","blackblade"
"","","","","","","","","","","","survey-html-form","13","323810","0.0-14.0-0.0-0.0","0","100","30","20","","30","30","20","20","30","","32573","{""silversky"":""30"",""apocalypse"":""20"",""firewalker"":""20"",""blackblade"":""30""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","327663","0.0-15.0","0","100","30","20","","30","30","20","20","30","","3851","","","[{""page_index"":0,""viewing_time"":3849}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","375524","0.0-16.0","0","100","30","20","","30","30","20","20","30","","47736","{""P0_Q0"":null,""irritated_native"":1,""interested_native"":9,""enthusiastic_native"":9,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":9,""P1_Q0"":null,""competent_native"":1,""smart_native"":9,""educated_native"":9,""intelligent_native"":9,""successful_native"":9,""P2_Q0"":null,""trustworthy_native"":9,""easy_native"":9,""fluent_native"":9,""strong_native"":9,""P3_Q0"":null,""sociable_native"":9,""friendly_native"":9,""nice_native"":9,""honest_native"":9,""pleasant_native"":9}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","16","757772","0.0-17.0","0","100","30","20","","30","30","20","20","30","","382189","{""P0_Q0"":null,""competent_nonnative"":9,""smart_nonnative"":9,""educated_nonnative"":9,""intelligent_nonnative"":9,""successful_nonnative"":9,""P1_Q0"":null,""trustworthy_nonnative"":9,""easy_nonnative"":9,""fluent_nonnative"":9,""strong_nonnative"":9,""P2_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":9,""enthusiastic_nonnative"":9,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":9,""P3_Q0"":null,""sociable_nonnative"":9,""friendly_nonnative"":9,""nice_nonnative"":9,""honest_nonnative"":9,""pleasant_nonnative"":9}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","17","1036171","0.0-18.0","0","100","30","20","","30","30","20","20","30","","278349","{""P0_Q0"":null,""country_native"":""No"",""country_nonnative"":""No"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":5,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":9,""naturalness_nonnative"":9,""decision_making"":""Based on the facts"",""P2_Q4"":""I am unsure"",""P2_Q5"":""NA""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
