"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","684","true","chrome","116.0.0","false","Mac OS","true","59.83","true","true","browser-check","0","1015","0.0-0.0","100","0","30","20","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","40445","0.0-1.0","100","0","30","20","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","50305","0.0-2.0","100","0","30","20","20","30","","9809","{""prolific_id"":""5b813270338a93000155ef6b"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","52034","0.0-4.0","100","0","30","20","20","30","","1729","","","[{""page_index"":0,""viewing_time"":1729}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","58638","0.0-5.0-0.0","100","0","30","20","20","30","","6443","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","60169","0.0-7.0","100","0","30","20","20","30","","1529","","","[{""page_index"":0,""viewing_time"":1529}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","60422","0.0-8.0","100","0","30","20","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","64431","0.0-9.0","100","0","30","20","20","30","","4009"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","121926","0.0-10.0","100","0","30","20","20","30","","123843","{""silversky"":""40""}","","","","","","","","firstbet","no","native","disfluent","20","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","275769","0.0-11.0","100","0","30","20","20","30","","277629","{""silversky"":"""",""blackblade"":""20""}","","","","","","","","secondbet","no","native","fluent","20","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","303830","0.0-12.0","100","0","30","20","20","30","","305536","{""silversky"":"""",""blackblade"":"""",""firewalker"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","20","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","354473","0.0-13.0","100","0","30","20","20","30","","356151","{""silversky"":""30"",""blackblade"":"""",""firewalker"":"""",""apocalypse"":""30""}","","","","","","","","forthbet","no","nonnative","disfluent","20","apocalypse"
"","","","","","","","","","","","instructions","12","356238","0.0-15.0","100","0","30","20","20","30","","1764","","","[{""page_index"":0,""viewing_time"":1764}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","395248","0.0-16.0","100","0","30","20","20","30","","38978","{""P0_Q0"":null,""trustworthy_nonnative"":9,""easy_nonnative"":3,""fluent_nonnative"":9,""strong_nonnative"":6,""P1_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":5,""nice_nonnative"":5,""honest_nonnative"":7,""pleasant_nonnative"":8,""P2_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":5,""P3_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":4,""enthusiastic_nonnative"":4,""frustrated_nonnative"":4,""annoyed_nonnative"":2,""happy_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","425040","0.0-17.0","100","0","30","20","20","30","","29775","{""P0_Q0"":null,""irritated_native"":2,""interested_native"":5,""enthusiastic_native"":4,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":5,""P1_Q0"":null,""sociable_native"":5,""friendly_native"":5,""nice_native"":5,""honest_native"":5,""pleasant_native"":5,""P2_Q0"":null,""trustworthy_native"":5,""easy_native"":9,""fluent_native"":9,""strong_native"":1,""P3_Q0"":null,""competent_native"":7,""smart_native"":8,""educated_native"":7,""intelligent_native"":7,""successful_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","472059","0.0-18.0","100","0","30","20","20","30","","46996","{""P0_Q0"":null,""country_native"":""England?"",""country_nonnative"":""Somewhere in Eastern Europe? "",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":7,""decision_making"":""Evenly "",""P2_Q4"":""To see if native speaker influences bias in betting?"",""P2_Q5"":""""}","[{""P1_Q4"":false},{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
