"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"2560","1291","true","chrome","117.0.0","false","Windows 10","true","75.22","false","true","browser-check","0","802","0.0-0.0","100","0","35","15","25","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3353","0.0-1.0","100","0","35","15","25","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","20287","0.0-2.0","100","0","35","15","25","25","","16891","{""prolific_id"":""6108085f9f95604979e43148"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","45876","0.0-4.0","100","0","35","15","25","25","","25588","","","[{""page_index"":0,""viewing_time"":25587}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","57091","0.0-5.0-0.0","100","0","35","15","25","25","","11009","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","79162","0.0-7.0","100","0","35","15","25","25","","22071","","","[{""page_index"":0,""viewing_time"":22071}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","80209","0.0-8.0","100","0","35","15","25","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","107709","0.0-9.0","100","0","35","15","25","25","","27500"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","158906","0.0-10.0","100","0","35","15","25","25","","160413","{""firewalker"":""25""}","","","","","","","","firstbet","no","nonnative","disfluent","14","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","206144","0.0-11.0","100","0","35","15","25","25","","207599","{""firewalker"":"""",""silversky"":""15""}","","","","","","","","secondbet","no","native","disfluent","14","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","239408","0.0-12.0","100","0","35","15","25","25","","240815","{""firewalker"":"""",""silversky"":"""",""blackblade"":""25""}","","","","","","","","thirdbet","no","native","fluent","14","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","276957","0.0-13.0","100","0","35","15","25","25","","278331","{""firewalker"":""35"",""silversky"":"""",""blackblade"":"""",""apocalypse"":""25""}","","","","","","","","forthbet","no","nonnative","fluent","14","apocalypse"
"","","","","","","","","","","","instructions","12","283952","0.0-15.0","100","0","35","15","25","25","","6994","","","[{""page_index"":0,""viewing_time"":6994}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","340944","0.0-16.0","100","0","35","15","25","25","","56958","{""P0_Q0"":null,""trustworthy_native"":5,""easy_native"":9,""fluent_native"":9,""strong_native"":6,""P1_Q0"":null,""sociable_native"":6,""friendly_native"":5,""nice_native"":5,""honest_native"":5,""pleasant_native"":5,""P2_Q0"":null,""irritated_native"":2,""interested_native"":4,""enthusiastic_native"":4,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":5,""P3_Q0"":null,""competent_native"":4,""smart_native"":5,""educated_native"":4,""intelligent_native"":4,""successful_native"":4}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","404386","0.0-17.0","100","0","35","15","25","25","","63425","{""P0_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":7,""enthusiastic_nonnative"":5,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":6,""P1_Q0"":null,""sociable_nonnative"":4,""friendly_nonnative"":5,""nice_nonnative"":5,""honest_nonnative"":5,""pleasant_nonnative"":5,""P2_Q0"":null,""competent_nonnative"":4,""smart_nonnative"":5,""educated_nonnative"":4,""intelligent_nonnative"":5,""successful_nonnative"":5,""P3_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":7,""fluent_nonnative"":8,""strong_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","605295","0.0-18.0","100","0","35","15","25","25","","200889","{""P0_Q0"":null,""country_native"":""Was not paying attention to the accent, just the words that were being said"",""country_nonnative"":""Maybe a Latinate country"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":6,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":2,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":7,""decision_making"":""Based on the history of the horses, two were young and new to the races, one had just come back from a break but was doing really well and the other had a surprising good finish in the previous race."",""P2_Q4"":""To assess people's unconscious perception of accents."",""P2_Q5"":""When answering the question \""which would you prefer to listen to\"" there was no option for 'I don't mind' or 'both' which is what I would have liked to have put.""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
