"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1245","741","true","safari","16.4.1","false","Mac OS","true","59.06","true","true","browser-check","0","1031","0.0-0.0","0","100","25","25","","30","20","40","10","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","5436","0.0-1.0","0","100","25","25","","30","20","40","10","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","31369","0.0-2.0","0","100","25","25","","30","20","40","10","30","","25702","{""prolific_id"":""613b94c0131c197e3151d176"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","42817","0.0-4.0","0","100","25","25","","30","20","40","10","30","","11446","","","[{""page_index"":0,""viewing_time"":11444}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","50537","0.0-5.0-0.0","0","100","25","25","","30","20","40","10","30","","7306","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","56052","0.0-5.1-0.1","0","100","25","25","","30","20","40","10","30","","5512","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","77727","0.0-7.0","0","100","25","25","","30","20","40","10","30","","21674","","","[{""page_index"":0,""viewing_time"":21674}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","78146","0.0-8.0","0","100","25","25","","30","20","40","10","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","106994","0.0-9.0","0","100","25","25","","30","20","40","10","30","","28845"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","141162","0.0-10.0","0","100","25","25","","30","20","40","10","30","","142747","{""silversky"":""25""}","","","","","","","","firstbet","no","native","fluent","13","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","214147","0.0-11.0","0","100","25","25","","30","20","40","10","30","","215696","{""silversky"":""25"",""apocalypse"":""25""}","","","","","","","","secondbet","no","nonnative","fluent","13","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","269232","0.0-12.0","0","100","25","25","","30","20","40","10","30","","270707","{""silversky"":"""",""apocalypse"":"""",""blackblade"":""20""}","","","","","","","","thirdbet","no","native","disfluent","13","blackblade"
"","","","","","","","","","","","audio-survey-input-response","12","314810","0.0-13.0","0","100","25","25","","30","20","40","10","30","","316229","{""silversky"":"""",""apocalypse"":"""",""blackblade"":"""",""firewalker"":""30""}","","","","","","","","forthbet","no","nonnative","disfluent","13","firewalker"
"","","","","","","","","","","","survey-html-form","13","358695","0.0-14.0-0.0-0.0","0","100","25","25","","30","20","40","10","30","","43879","{""silversky"":""20"",""apocalypse"":""40"",""blackblade"":""10"",""firewalker"":""30""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","361097","0.0-15.0","0","100","25","25","","30","20","40","10","30","","2399","","","[{""page_index"":0,""viewing_time"":2399}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","398201","0.0-16.0","0","100","25","25","","30","20","40","10","30","","36994","{""P0_Q0"":null,""sociable_native"":6,""friendly_native"":7,""nice_native"":7,""honest_native"":8,""pleasant_native"":7,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":8,""fluent_native"":8,""strong_native"":7,""P2_Q0"":null,""competent_native"":8,""smart_native"":8,""educated_native"":8,""intelligent_native"":8,""successful_native"":7,""P3_Q0"":null,""irritated_native"":2,""interested_native"":6,""enthusiastic_native"":5,""frustrated_native"":2,""annoyed_native"":2,""happy_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","16","432146","0.0-17.0","0","100","25","25","","30","20","40","10","30","","33879","{""P0_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":8,""P1_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":6,""enthusiastic_nonnative"":5,""frustrated_nonnative"":2,""annoyed_nonnative"":2,""happy_nonnative"":5,""P3_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":7,""fluent_nonnative"":9,""strong_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","17","511175","0.0-18.0","0","100","25","25","","30","20","40","10","30","","78971","{""P0_Q0"":null,""country_native"":""Couldn't guess "",""country_nonnative"":""Couldn't guess"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":8,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":2,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":5,""decision_making"":""Based on what was said by the speakers"",""P2_Q4"":""If there is a difference in non-native and native and trust worthiness "",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
