"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","814","true","chrome","117.0.0","false","Mac OS","true","60.16","true","true","browser-check","0","1006","0.0-0.0","90","0","25","15","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4132","0.0-1.0","90","0","25","15","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","30443","0.0-2.0","90","0","25","15","20","30","","26232","{""prolific_id"":""5f33051bf1d60a0f299fa7f7"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","40891","0.0-4.0","90","0","25","15","20","30","","10448","","","[{""page_index"":0,""viewing_time"":10447}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","47366","0.0-5.0-0.0","90","0","25","15","20","30","","6288","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","64814","0.0-7.0","90","0","25","15","20","30","","17447","","","[{""page_index"":0,""viewing_time"":17447}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","65238","0.0-8.0","90","0","25","15","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","124267","0.0-9.0","90","0","25","15","20","30","","59030","g","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","174238","0.0-10.0","90","0","25","15","20","30","","175833","{""firewalker"":""20""}","","","","","","","","firstbet","no","native","disfluent","18","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","212865","0.0-11.0","90","0","25","15","20","30","","214344","{""firewalker"":"""",""blackblade"":""15""}","","","","","","","","secondbet","no","nonnative","disfluent","18","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","243888","0.0-12.0","90","0","25","15","20","30","","245329","{""firewalker"":""25"",""blackblade"":"""",""apocalypse"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","18","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","273968","0.0-13.0","90","0","25","15","20","30","","275378","{""firewalker"":"""",""blackblade"":"""",""apocalypse"":"""",""silversky"":""30""}","","","","","","","","forthbet","no","native","fluent","18","silversky"
"","","","","","","","","","","","instructions","12","281490","0.0-15.0","90","0","25","15","20","30","","7518","","","[{""page_index"":0,""viewing_time"":7516}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","334726","0.0-16.0","90","0","25","15","20","30","","53165","{""P0_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":3,""fluent_nonnative"":3,""strong_nonnative"":8,""P1_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":3,""enthusiastic_nonnative"":3,""frustrated_nonnative"":5,""annoyed_nonnative"":5,""happy_nonnative"":4,""P2_Q0"":null,""sociable_nonnative"":3,""friendly_nonnative"":3,""nice_nonnative"":4,""honest_nonnative"":4,""pleasant_nonnative"":5,""P3_Q0"":null,""competent_nonnative"":5,""smart_nonnative"":5,""educated_nonnative"":5,""intelligent_nonnative"":5,""successful_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","374995","0.0-17.0","90","0","25","15","20","30","","40235","{""P0_Q0"":null,""trustworthy_native"":6,""easy_native"":9,""fluent_native"":9,""strong_native"":3,""P1_Q0"":null,""irritated_native"":3,""interested_native"":4,""enthusiastic_native"":3,""frustrated_native"":2,""annoyed_native"":2,""happy_native"":3,""P2_Q0"":null,""competent_native"":6,""smart_native"":6,""educated_native"":5,""intelligent_native"":5,""successful_native"":6,""P3_Q0"":null,""sociable_native"":6,""friendly_native"":7,""nice_native"":7,""honest_native"":6,""pleasant_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","434579","0.0-18.0","90","0","25","15","20","30","","59542","{""P0_Q0"":null,""country_native"":""scotland"",""country_nonnative"":""italy"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":6,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":3,""P2_Q0"":null,""naturalness_native"":8,""naturalness_nonnative"":7,""decision_making"":""how well i thought the horse would do"",""P2_Q4"":""not sure"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
