"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","726","true","chrome","117.0.0","false","Mac OS","true","59.88","true","true","browser-check","0","1016","0.0-0.0","100","0","25","25","25","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","32386","0.0-1.0","100","0","25","25","25","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","46460","0.0-2.0","100","0","25","25","25","25","","14028","{""prolific_id"":""62fb88be841f0dcba3db01ff"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","56284","0.0-4.0","100","0","25","25","25","25","","9823","","","[{""page_index"":0,""viewing_time"":9822}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","64318","0.0-5.0-0.0","100","0","25","25","25","25","","7861","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","82467","0.0-7.0","100","0","25","25","25","25","","18148","","","[{""page_index"":0,""viewing_time"":18148}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","82864","0.0-8.0","100","0","25","25","25","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","98460","0.0-9.0","100","0","25","25","25","25","","15595"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","158501","0.0-10.0","100","0","25","25","25","25","","176216","{""apocalypse"":""20""}","","","","","","","","firstbet","no","native","disfluent","7","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","9","189918","0.0-11.0","100","0","25","25","25","25","","207574","{""apocalypse"":"""",""firewalker"":""20""}","","","","","","","","secondbet","no","native","fluent","7","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","220434","0.0-12.0","100","0","25","25","25","25","","238060","{""apocalypse"":"""",""firewalker"":"""",""silversky"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","7","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","277635","0.0-13.0","100","0","25","25","25","25","","295232","{""apocalypse"":""25"",""firewalker"":""25"",""silversky"":""25"",""blackblade"":""25""}","","","","","","","","forthbet","no","nonnative","disfluent","7","blackblade"
"","","","","","","","","","","","instructions","12","283750","0.0-15.0","100","0","25","25","25","25","","6113","","","[{""page_index"":0,""viewing_time"":6112}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","333998","0.0-16.0","100","0","25","25","25","25","","50220","{""P0_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":7,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":8,""P1_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":5,""intelligent_nonnative"":7,""successful_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":6,""enthusiastic_nonnative"":6,""frustrated_nonnative"":6,""annoyed_nonnative"":2,""happy_nonnative"":6,""P3_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":1,""fluent_nonnative"":2,""strong_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","366797","0.0-17.0","100","0","25","25","25","25","","32783","{""P0_Q0"":null,""irritated_native"":2,""interested_native"":6,""enthusiastic_native"":6,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":7,""P1_Q0"":null,""competent_native"":6,""smart_native"":7,""educated_native"":7,""intelligent_native"":6,""successful_native"":6,""P2_Q0"":null,""trustworthy_native"":6,""easy_native"":7,""fluent_native"":8,""strong_native"":5,""P3_Q0"":null,""sociable_native"":7,""friendly_native"":6,""nice_native"":8,""honest_native"":6,""pleasant_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","410151","0.0-18.0","100","0","25","25","25","25","","43331","{""P0_Q0"":null,""country_native"":""UK"",""country_nonnative"":""India?"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":1,""naturalness_nonnative"":4,""decision_making"":""evenly "",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
