"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"2560","1291","true","chrome","117.0.0","false","Windows 10","true","143.88","false","true","browser-check","0","419","0.0-0.0","0","85","15","20","","30","15","20","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4508","0.0-1.0","0","85","15","20","","30","15","20","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","17883","0.0-2.0","0","85","15","20","","30","15","20","20","30","","13349","{""prolific_id"":""63d7a39a9b2af0db6c05d600"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","26477","0.0-4.0","0","85","15","20","","30","15","20","20","30","","8594","","","[{""page_index"":0,""viewing_time"":8593}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","32549","0.0-5.0-0.0","0","85","15","20","","30","15","20","20","30","","5939","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","39975","0.0-5.1-0.1","0","85","15","20","","30","15","20","20","30","","7421","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","61856","0.0-7.0","0","85","15","20","","30","15","20","20","30","","21881","","","[{""page_index"":0,""viewing_time"":21880}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","62174","0.0-8.0","0","85","15","20","","30","15","20","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","80084","0.0-9.0","0","85","15","20","","30","15","20","20","30","","17910"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","108610","0.0-10.0","0","85","15","20","","30","15","20","20","30","","110286","{""blackblade"":""15""}","","","","","","","","firstbet","no","native","fluent","12","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","151492","0.0-11.0","0","85","15","20","","30","15","20","20","30","","153139","{""blackblade"":"""",""apocalypse"":""20""}","","","","","","","","secondbet","no","native","disfluent","12","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","185326","0.0-12.0","0","85","15","20","","30","15","20","20","30","","186930","{""blackblade"":"""",""apocalypse"":"""",""silversky"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","12","silversky"
"","","","","","","","","","","","audio-survey-input-response","12","227862","0.0-13.0","0","85","15","20","","30","15","20","20","30","","229433","{""blackblade"":"""",""apocalypse"":"""",""silversky"":"""",""firewalker"":""30""}","","","","","","","","forthbet","no","nonnative","disfluent","12","firewalker"
"","","","","","","","","","","","survey-html-form","13","247114","0.0-14.0-0.0-0.0","0","85","15","20","","30","15","20","20","30","","19250","{""blackblade"":""15"",""apocalypse"":""20"",""silversky"":""20"",""firewalker"":""30""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","255077","0.0-15.0","0","85","15","20","","30","15","20","20","30","","7963","","","[{""page_index"":0,""viewing_time"":7963}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","318251","0.0-16.0","0","85","15","20","","30","15","20","20","30","","63152","{""P0_Q0"":null,""sociable_native"":2,""friendly_native"":1,""nice_native"":3,""honest_native"":2,""pleasant_native"":1,""P1_Q0"":null,""irritated_native"":6,""interested_native"":1,""enthusiastic_native"":1,""frustrated_native"":7,""annoyed_native"":7,""happy_native"":2,""P2_Q0"":null,""competent_native"":1,""smart_native"":2,""educated_native"":3,""intelligent_native"":4,""successful_native"":2,""P3_Q0"":null,""trustworthy_native"":2,""easy_native"":1,""fluent_native"":3,""strong_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","16","369591","0.0-17.0","0","85","15","20","","30","15","20","20","30","","51327","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":6,""strong_nonnative"":6,""P1_Q0"":null,""sociable_nonnative"":8,""friendly_nonnative"":9,""nice_nonnative"":9,""honest_nonnative"":7,""pleasant_nonnative"":9,""P2_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":8,""successful_nonnative"":9,""P3_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":8,""enthusiastic_nonnative"":7,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","17","481128","0.0-18.0","0","85","15","20","","30","15","20","20","30","","111522","{""P0_Q0"":null,""country_native"":""Milddlesbrough"",""country_nonnative"":""Bangladesh"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":1,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":9,""naturalness_nonnative"":1,""decision_making"":""with the horses that sounded most likely to win"",""P2_Q4"":""to see if people listen more to native and non native speakers"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
