"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1272","644","true","edge-chromium","118.0.2088","false","Windows 10","true","60.01","true","true","browser-check","0","1600","0.0-0.0","100","0","20","10","40","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","15818","0.0-1.0","100","0","20","10","40","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","36833","0.0-2.0","100","0","20","10","40","30","","20970","{""prolific_id"":""60914b4649ec7b4af680e25b"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","46978","0.0-4.0","100","0","20","10","40","30","","10144","","","[{""page_index"":0,""viewing_time"":10143}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","55434","0.0-5.0-0.0","100","0","20","10","40","30","","7309","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","79118","0.0-7.0","100","0","20","10","40","30","","23683","","","[{""page_index"":0,""viewing_time"":23682}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","79660","0.0-8.0","100","0","20","10","40","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","162790","0.0-9.0","100","0","20","10","40","30","","83129","escape","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","215507","0.0-10.0","100","0","20","10","40","30","","222615","{""firewalker"":""20""}","","","","","","","","firstbet","no","nonnative","disfluent","6","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","246417","0.0-11.0","100","0","20","10","40","30","","253474","{""firewalker"":"""",""silversky"":""10""}","","","","","","","","secondbet","no","nonnative","fluent","6","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","284740","0.0-12.0","100","0","20","10","40","30","","291766","{""firewalker"":"""",""silversky"":"""",""blackblade"":""40""}","","","","","","","","thirdbet","no","native","disfluent","6","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","309264","0.0-13.0","100","0","20","10","40","30","","316252","{""firewalker"":"""",""silversky"":"""",""blackblade"":"""",""apocalypse"":""30""}","","","","","","","","forthbet","no","native","fluent","6","apocalypse"
"","","","","","","","","","","","instructions","12","314543","0.0-15.0","100","0","20","10","40","30","","5276","","","[{""page_index"":0,""viewing_time"":5276}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","384071","0.0-16.0","100","0","20","10","40","30","","69478","{""P0_Q0"":null,""sociable_native"":6,""friendly_native"":6,""nice_native"":6,""honest_native"":8,""pleasant_native"":8,""P1_Q0"":null,""irritated_native"":2,""interested_native"":6,""enthusiastic_native"":4,""frustrated_native"":2,""annoyed_native"":2,""happy_native"":4,""P2_Q0"":null,""trustworthy_native"":7,""easy_native"":8,""fluent_native"":8,""strong_native"":6,""P3_Q0"":null,""competent_native"":7,""smart_native"":5,""educated_native"":6,""intelligent_native"":6,""successful_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","422273","0.0-17.0","100","0","20","10","40","30","","38168","{""P0_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":5,""nice_nonnative"":7,""honest_nonnative"":4,""pleasant_nonnative"":5,""P1_Q0"":null,""trustworthy_nonnative"":3,""easy_nonnative"":2,""fluent_nonnative"":2,""strong_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":4,""interested_nonnative"":3,""enthusiastic_nonnative"":5,""frustrated_nonnative"":6,""annoyed_nonnative"":3,""happy_nonnative"":5,""P3_Q0"":null,""competent_nonnative"":5,""smart_nonnative"":4,""educated_nonnative"":4,""intelligent_nonnative"":3,""successful_nonnative"":3}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","483837","0.0-18.0","100","0","20","10","40","30","","61531","{""P0_Q0"":null,""country_native"":""Northern England"",""country_nonnative"":""not sure"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":7,""decision_making"":""How well I could understand the speaker"",""P2_Q4"":""To see if there is a positive bias towards people who speak the same as you"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
