"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1440","820","true","safari","14.1.2","false","Mac OS","true","60","true","true","browser-check","0","1023","0.0-0.0","100","0","15","35","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4188","0.0-1.0","100","0","15","35","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","67730","0.0-2.0","100","0","15","35","20","30","","63411","{""prolific_id"":""61263c19b5585569c078ab39"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","79540","0.0-4.0","100","0","15","35","20","30","","11808","","","[{""page_index"":0,""viewing_time"":11808}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","88233","0.0-5.0-0.0","100","0","15","35","20","30","","8371","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","107714","0.0-7.0","100","0","15","35","20","30","","19479","","","[{""page_index"":0,""viewing_time"":19479}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","108343","0.0-8.0","100","0","15","35","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","129601","0.0-9.0","100","0","15","35","20","30","","21256","y","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","205719","0.0-10.0","100","0","15","35","20","30","","208741","{""firewalker"":""15""}","","","","","","","","firstbet","no","native","disfluent","1","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","251951","0.0-11.0","100","0","15","35","20","30","","254896","{""firewalker"":"""",""blackblade"":""35""}","","","","","","","","secondbet","no","nonnative","disfluent","1","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","282029","0.0-12.0","100","0","15","35","20","30","","284929","{""firewalker"":"""",""blackblade"":"""",""silversky"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","1","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","315521","0.0-13.0","100","0","15","35","20","30","","318390","{""firewalker"":"""",""blackblade"":"""",""silversky"":"""",""apocalypse"":""30""}","","","","","","","","forthbet","no","native","fluent","1","apocalypse"
"","","","","","","","","","","","instructions","12","328976","0.0-15.0","100","0","15","35","20","30","","13451","","","[{""page_index"":0,""viewing_time"":13451}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","390486","0.0-16.0","100","0","15","35","20","30","","61392","{""P0_Q0"":null,""sociable_native"":6,""friendly_native"":5,""nice_native"":6,""honest_native"":6,""pleasant_native"":5,""P1_Q0"":null,""competent_native"":6,""smart_native"":6,""educated_native"":6,""intelligent_native"":6,""successful_native"":6,""P2_Q0"":null,""trustworthy_native"":5,""easy_native"":8,""fluent_native"":9,""strong_native"":5,""P3_Q0"":null,""irritated_native"":3,""interested_native"":3,""enthusiastic_native"":3,""frustrated_native"":4,""annoyed_native"":3,""happy_native"":3}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","440386","0.0-17.0","100","0","15","35","20","30","","49822","{""P0_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":5,""enthusiastic_nonnative"":4,""frustrated_nonnative"":2,""annoyed_nonnative"":2,""happy_nonnative"":4,""P1_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":4,""fluent_nonnative"":7,""strong_nonnative"":6,""P3_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":7,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","561908","0.0-18.0","100","0","15","35","20","30","","121451","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""French/swiss"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":1,""naturalness_nonnative"":1,""decision_making"":""I tried to listen to the cues in the speakers, but even out my bets as I am not familiar with betting"",""P2_Q4"":""to see how people perceive advice from accented/non accented individuals"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
