"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1600","775","true","chrome","117.0.0","false","Windows 10","true","60.83","true","true","browser-check","0","994","0.0-0.0","85","0","20","20","25","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3560","0.0-1.0","85","0","20","20","25","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","26340","0.0-2.0","85","0","20","20","25","20","","22681","{""prolific_id"":""5b01e69aa496b300013d5b9b"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","39455","0.0-4.0","85","0","20","20","25","20","","13113","","","[{""page_index"":0,""viewing_time"":13110}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","50992","0.0-5.0-0.0","85","0","20","20","25","20","","10549","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","78014","0.0-7.0","85","0","20","20","25","20","","27017","","","[{""page_index"":0,""viewing_time"":27016}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","78799","0.0-8.0","85","0","20","20","25","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","105183","0.0-9.0","85","0","20","20","25","20","","26382"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","146550","0.0-10.0","85","0","20","20","25","20","","148473","{""blackblade"":""20""}","","","","","","","","firstbet","no","native","fluent","20","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","188950","0.0-11.0","85","0","20","20","25","20","","190833","{""blackblade"":"""",""apocalypse"":""20""}","","","","","","","","secondbet","no","nonnative","disfluent","20","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","225907","0.0-12.0","85","0","20","20","25","20","","227746","{""blackblade"":"""",""apocalypse"":"""",""firewalker"":""25""}","","","","","","","","thirdbet","no","nonnative","fluent","20","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","275738","0.0-13.0","85","0","20","20","25","20","","277540","{""blackblade"":"""",""apocalypse"":"""",""firewalker"":"""",""silversky"":""20""}","","","","","","","","forthbet","no","native","disfluent","20","silversky"
"","","","","","","","","","","","instructions","12","283439","0.0-15.0","85","0","20","20","25","20","","7689","","","[{""page_index"":0,""viewing_time"":7687}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","362985","0.0-16.0","85","0","20","20","25","20","","79432","{""P0_Q0"":null,""irritated_native"":6,""interested_native"":3,""enthusiastic_native"":2,""frustrated_native"":6,""annoyed_native"":5,""happy_native"":3,""P1_Q0"":null,""sociable_native"":2,""friendly_native"":3,""nice_native"":3,""honest_native"":5,""pleasant_native"":3,""P2_Q0"":null,""competent_native"":3,""smart_native"":5,""educated_native"":5,""intelligent_native"":5,""successful_native"":4,""P3_Q0"":null,""trustworthy_native"":4,""easy_native"":8,""fluent_native"":8,""strong_native"":2}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","417393","0.0-17.0","85","0","20","20","25","20","","54327","{""P0_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":6,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":6,""P1_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":6,""enthusiastic_nonnative"":5,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":5,""P2_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":5,""pleasant_nonnative"":6,""P3_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":7,""fluent_nonnative"":7,""strong_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","517269","0.0-18.0","85","0","20","20","25","20","","99814","{""P0_Q0"":null,""country_native"":""Scotland"",""country_nonnative"":""France"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":8,""exposure_n"":8,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":2,""naturalness_nonnative"":7,""decision_making"":""Based on how well I thought the horse and he training was described"",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
