"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1536","740","true","chrome","117.0.0","false","Chrome OS","true","61.34","true","true","browser-check","0","1000","0.0-0.0","100","0","25","25","25","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","7079","0.0-1.0","100","0","25","25","25","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","30361","0.0-2.0","100","0","25","25","25","25","","23076","{""prolific_id"":""5ebd31a3dc638f1875840598"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","33761","0.0-4.0","100","0","25","25","25","25","","3397","","","[{""page_index"":0,""viewing_time"":3396}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","39551","0.0-5.0-0.0","100","0","25","25","25","25","","5547","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","58388","0.0-7.0","100","0","25","25","25","25","","18833","","","[{""page_index"":0,""viewing_time"":18832}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","59052","0.0-8.0","100","0","25","25","25","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","87704","0.0-9.0","100","0","25","25","25","25","","28649","n","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","138105","0.0-10.0","100","0","25","25","25","25","","140435","{""silversky"":""0.25""}","","","","","","","","firstbet","no","nonnative","disfluent","8","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","185118","0.0-11.0","100","0","25","25","25","25","","187398","{""silversky"":""25"",""apocalypse"":""25""}","","","","","","","","secondbet","no","native","disfluent","8","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","212154","0.0-12.0","100","0","25","25","25","25","","214385","{""silversky"":"""",""apocalypse"":"""",""blackblade"":""25""}","","","","","","","","thirdbet","no","nonnative","fluent","8","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","239461","0.0-13.0","100","0","25","25","25","25","","241667","{""silversky"":"""",""apocalypse"":"""",""blackblade"":"""",""firewalker"":""25""}","","","","","","","","forthbet","no","native","fluent","8","firewalker"
"","","","","","","","","","","","instructions","12","242614","0.0-15.0","100","0","25","25","25","25","","3146","","","[{""page_index"":0,""viewing_time"":3145}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","310448","0.0-16.0","100","0","25","25","25","25","","67661","{""P0_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":6,""pleasant_nonnative"":7,""P1_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P2_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":9,""fluent_nonnative"":8,""strong_nonnative"":9,""P3_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":6,""enthusiastic_nonnative"":5,""frustrated_nonnative"":5,""annoyed_nonnative"":1,""happy_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","360522","0.0-17.0","100","0","25","25","25","25","","49981","{""P0_Q0"":null,""irritated_native"":1,""interested_native"":5,""enthusiastic_native"":4,""frustrated_native"":5,""annoyed_native"":1,""happy_native"":5,""P1_Q0"":null,""trustworthy_native"":9,""easy_native"":9,""fluent_native"":7,""strong_native"":9,""P2_Q0"":null,""competent_native"":9,""smart_native"":8,""educated_native"":8,""intelligent_native"":9,""successful_native"":9,""P3_Q0"":null,""sociable_native"":7,""friendly_native"":7,""nice_native"":8,""honest_native"":8,""pleasant_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","435610","0.0-18.0","100","0","25","25","25","25","","74985","{""P0_Q0"":null,""country_native"":""france"",""country_nonnative"":""america"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":4,""naturalness_nonnative"":9,""decision_making"":""evenly"",""P2_Q4"":""not a clue"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
