"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","923","true","chrome","116.0.0","false","Windows 10","true","119.98","true","true","browser-check","0","505","0.0-0.0","100","0","20","45","15","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4655","0.0-1.0","100","0","20","45","15","20","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","16622","0.0-2.0","100","0","20","45","15","20","","11947","{""prolific_id"":""5eff368f8f20d547f17e77d8"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","19363","0.0-4.0","100","0","20","45","15","20","","2741","","","[{""page_index"":0,""viewing_time"":2741}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","25155","0.0-5.0-0.0","100","0","20","45","15","20","","5691","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","29995","0.0-7.0","100","0","20","45","15","20","","4840","","","[{""page_index"":0,""viewing_time"":4840}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","30295","0.0-8.0","100","0","20","45","15","20","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","36367","0.0-9.0","100","0","20","45","15","20","","6071"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","82496","0.0-10.0","100","0","20","45","15","20","","82812","{""silversky"":""20""}","","","","","","","","firstbet","no","nonnative","disfluent","5","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","105880","0.0-11.0","100","0","20","45","15","20","","106150","{""silversky"":"""",""apocalypse"":""35""}","","","","","","","","secondbet","no","native","fluent","5","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","145121","0.0-12.0","100","0","20","45","15","20","","145367","{""silversky"":"""",""apocalypse"":"""",""blackblade"":""20""}","","","","","","","","thirdbet","no","native","disfluent","5","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","178161","0.0-13.0","100","0","20","45","15","20","","178369","{""silversky"":"""",""apocalypse"":""45"",""blackblade"":""15"",""firewalker"":""20""}","","","","","","","","forthbet","no","nonnative","fluent","5","firewalker"
"","","","","","","","","","","","instructions","12","179806","0.0-15.0","100","0","20","45","15","20","","1644","","","[{""page_index"":0,""viewing_time"":1644}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","256541","0.0-16.0","100","0","20","45","15","20","","76717","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":3,""fluent_nonnative"":6,""strong_nonnative"":7,""P1_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":8,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":8,""P2_Q0"":null,""irritated_nonnative"":4,""interested_nonnative"":3,""enthusiastic_nonnative"":3,""frustrated_nonnative"":5,""annoyed_nonnative"":6,""happy_nonnative"":4,""P3_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","333799","0.0-17.0","100","0","20","45","15","20","","77250","{""P0_Q0"":null,""sociable_native"":3,""friendly_native"":4,""nice_native"":6,""honest_native"":5,""pleasant_native"":3,""P1_Q0"":null,""trustworthy_native"":4,""easy_native"":8,""fluent_native"":9,""strong_native"":7,""P2_Q0"":null,""competent_native"":3,""smart_native"":4,""educated_native"":5,""intelligent_native"":4,""successful_native"":3,""P3_Q0"":null,""irritated_native"":6,""interested_native"":1,""enthusiastic_native"":1,""frustrated_native"":5,""annoyed_native"":5,""happy_native"":2}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","540373","0.0-18.0","100","0","20","45","15","20","","206562","{""P0_Q0"":null,""country_native"":""Scotland"",""country_nonnative"":""Poland"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":6,""naturalness_nonnative"":8,""decision_making"":""Simply based on how they made me feel"",""P2_Q4"":""If speaker's enthusiasm, percieved compentency, and accent affect participant confidence in what the speaker is saying. "",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
