"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","118.0.0","false","Windows 10","true","74.97","true","true","browser-check","0","811","0.0-0.0","0","80","10","20","","30","10","30","10","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4491","0.0-1.0","0","80","10","20","","30","10","30","10","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","14373","0.0-2.0","0","80","10","20","","30","10","30","10","30","","9855","{""prolific_id"":""63d7e609051bf50f9d1dcd35"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":false},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","3","25896","0.0-3.0-0.0","0","80","10","20","","30","10","30","10","30","","11523","backspace","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","4","37571","0.0-4.0","0","80","10","20","","30","10","30","10","30","","11675","","","[{""page_index"":0,""viewing_time"":11675}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","43139","0.0-5.0-0.0","0","80","10","20","","30","10","30","10","30","","5440","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","69309","0.0-7.0","0","80","10","20","","30","10","30","10","30","","26170","","","[{""page_index"":0,""viewing_time"":26169}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","69592","0.0-8.0","0","80","10","20","","30","10","30","10","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","92286","0.0-9.0","0","80","10","20","","30","10","30","10","30","","22693"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","150229","0.0-10.0","0","80","10","20","","30","10","30","10","30","","152183","{""apocalypse"":""10""}","","","","","","","","firstbet","no","native","disfluent","7","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","186352","0.0-11.0","0","80","10","20","","30","10","30","10","30","","188249","{""apocalypse"":"""",""firewalker"":""20""}","","","","","","","","secondbet","no","native","fluent","7","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","233494","0.0-12.0","0","80","10","20","","30","10","30","10","30","","235355","{""apocalypse"":"""",""firewalker"":"""",""blackblade"":""10""}","","","","","","","","thirdbet","no","nonnative","disfluent","7","blackblade"
"","","","","","","","","","","","audio-survey-input-response","12","268394","0.0-13.0","0","80","10","20","","30","10","30","10","30","","270207","{""apocalypse"":"""",""firewalker"":"""",""blackblade"":"""",""silversky"":""30""}","","","","","","","","forthbet","no","nonnative","fluent","7","silversky"
"","","","","","","","","","","","survey-html-form","13","296128","0.0-14.0-0.0-0.0","0","80","10","20","","30","10","30","10","30","","27732","{""apocalypse"":""10"",""firewalker"":""30"",""blackblade"":""10"",""silversky"":""30""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","304569","0.0-15.0","0","80","10","20","","30","10","30","10","30","","8440","","","[{""page_index"":0,""viewing_time"":8440}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","395318","0.0-16.0","0","80","10","20","","30","10","30","10","30","","90722","{""P0_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P1_Q0"":null,""sociable_nonnative"":8,""friendly_nonnative"":8,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":7,""fluent_nonnative"":8,""strong_nonnative"":5,""P3_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":7,""enthusiastic_nonnative"":6,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","16","455758","0.0-17.0","0","80","10","20","","30","10","30","10","30","","60425","{""P0_Q0"":null,""sociable_native"":5,""friendly_native"":7,""nice_native"":7,""honest_native"":7,""pleasant_native"":7,""P1_Q0"":null,""trustworthy_native"":7,""easy_native"":9,""fluent_native"":9,""strong_native"":6,""P2_Q0"":null,""competent_native"":7,""smart_native"":7,""educated_native"":7,""intelligent_native"":7,""successful_native"":7,""P3_Q0"":null,""irritated_native"":1,""interested_native"":7,""enthusiastic_native"":6,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","17","598091","0.0-18.0","0","80","10","20","","30","10","30","10","30","","142318","{""P0_Q0"":null,""country_native"":""France"",""country_nonnative"":""Yorkshire"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":6,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":3,""naturalness_nonnative"":3,""decision_making"":""Based on the information I received about each horse"",""P2_Q4"":""Whether there is bias towards certain speech"",""P2_Q5"":""""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
