"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"2519","1291","true","opera","102.0.0","false","Windows 10","true","74.94","false","true","browser-check","0","808","0.0-0.0","50","0","20","0","0","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3770","0.0-1.0","50","0","20","0","0","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","27852","0.0-2.0","50","0","20","0","0","30","","24054","{""prolific_id"":""5d20021f07e8d90017027a52"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","44414","0.0-4.0","50","0","20","0","0","30","","16561","","","[{""page_index"":0,""viewing_time"":16560}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","54221","0.0-5.0-0.0","50","0","20","0","0","30","","9659","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","79673","0.0-7.0","50","0","20","0","0","30","","25451","","","[{""page_index"":0,""viewing_time"":25451}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","79999","0.0-8.0","50","0","20","0","0","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","126833","0.0-9.0","50","0","20","0","0","30","","46834"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","186630","0.0-10.0","50","0","20","0","0","30","","188713","{""silversky"":""0""}","","","","","","","","firstbet","no","nonnative","disfluent","2","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","229786","0.0-11.0","50","0","20","0","0","30","","231809","{""silversky"":"""",""firewalker"":""0""}","","","","","","","","secondbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","253760","0.0-12.0","50","0","20","0","0","30","","255739","{""silversky"":"""",""firewalker"":"""",""apocalypse"":""0""}","","","","","","","","thirdbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","294682","0.0-13.0","50","0","20","0","0","30","","296638","{""silversky"":""20"",""firewalker"":"""",""apocalypse"":"""",""blackblade"":""30""}","","","","","","","","forthbet","no","nonnative","fluent","2","blackblade"
"","","","","","","","","","","","instructions","12","301272","0.0-15.0","50","0","20","0","0","30","","6589","","","[{""page_index"":0,""viewing_time"":6588}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","453622","0.0-16.0","50","0","20","0","0","30","","152317","{""P0_Q0"":null,""irritated_native"":5,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":5,""annoyed_native"":5,""happy_native"":5,""P1_Q0"":null,""trustworthy_native"":4,""easy_native"":8,""fluent_native"":9,""strong_native"":5,""P2_Q0"":null,""sociable_native"":5,""friendly_native"":5,""nice_native"":5,""honest_native"":4,""pleasant_native"":4,""P3_Q0"":null,""competent_native"":4,""smart_native"":5,""educated_native"":4,""intelligent_native"":4,""successful_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","614975","0.0-17.0","50","0","20","0","0","30","","161334","{""P0_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":3,""fluent_nonnative"":4,""strong_nonnative"":7,""P1_Q0"":null,""competent_nonnative"":5,""smart_nonnative"":6,""educated_nonnative"":5,""intelligent_nonnative"":6,""successful_nonnative"":5,""P2_Q0"":null,""irritated_nonnative"":6,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":6,""annoyed_nonnative"":3,""happy_nonnative"":5,""P3_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":5,""nice_nonnative"":5,""honest_nonnative"":5,""pleasant_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","914924","0.0-18.0","50","0","20","0","0","30","","299933","{""P0_Q0"":null,""country_native"":""Southern Scotland"",""country_nonnative"":""My gut tells me it was someone from England doing an exotic accent"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":3,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":2,""P2_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":7,""decision_making"":""Based on the image of the horse and informed by the statistics given."",""P2_Q4"":""To check how accents inform our perceptions of others."",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
