"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1280","563","true","chrome","117.0.0","false","Windows 10","true","60.28","true","true","browser-check","0","1007","0.0-0.0","0","100","35","15","20","35","35","15","15","35","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4062","0.0-1.0","0","100","35","15","20","35","35","15","15","35","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","37943","0.0-2.0","0","100","35","15","20","35","35","15","15","35","","33664","{""prolific_id"":""5f0c69835a4ca35d753f8760"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","42316","0.0-4.0","0","100","35","15","20","35","35","15","15","35","","4371","","","[{""page_index"":0,""viewing_time"":4371}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","53741","0.0-5.0-0.0","0","100","35","15","20","35","35","15","15","35","","8229","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","65898","0.0-7.0","0","100","35","15","20","35","35","15","15","35","","12155","","","[{""page_index"":0,""viewing_time"":12155}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","67073","0.0-8.0","0","100","35","15","20","35","35","15","15","35","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","107573","0.0-9.0","0","100","35","15","20","35","35","15","15","35","","40501","arrowright","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","208043","0.0-10.0","0","100","35","15","20","35","35","15","15","35","","211294","{""firewalker"":""20""}","","","","","","","","firstbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","239745","0.0-11.0","0","100","35","15","20","35","35","15","15","35","","242899","{""firewalker"":"""",""apocalypse"":""15""}","","","","","","","","secondbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","268107","0.0-12.0","0","100","35","15","20","35","35","15","15","35","","271230","{""firewalker"":"""",""apocalypse"":"""",""blackblade"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","2","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","325347","0.0-13.0","0","100","35","15","20","35","35","15","15","35","","328441","{""firewalker"":""35"",""apocalypse"":"""",""blackblade"":"""",""silversky"":""35""}","","","","","","","","forthbet","no","nonnative","disfluent","2","silversky"
"","","","","","","","","","","","survey-html-form","12","356061","0.0-14.0-0.0-0.0","0","100","35","15","20","35","35","15","15","35","","30707","{""firewalker"":""35"",""apocalypse"":""20"",""blackblade"":""15"",""silversky"":""35""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","survey-html-form","13","368658","0.0-14.0-0.1-0.1","0","100","35","15","20","35","35","15","15","35","","12593","{""firewalker"":""35"",""apocalypse"":""15"",""blackblade"":""15"",""silversky"":""35""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","371521","0.0-15.0","0","100","35","15","20","35","35","15","15","35","","2862","","","[{""page_index"":0,""viewing_time"":2861}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","413113","0.0-16.0","0","100","35","15","20","35","35","15","15","35","","41534","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":4,""fluent_nonnative"":7,""strong_nonnative"":6,""P1_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":7,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P2_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":7,""pleasant_nonnative"":7,""P3_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":3,""annoyed_nonnative"":3,""happy_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","16","455026","0.0-17.0","0","100","35","15","20","35","35","15","15","35","","41875","{""P0_Q0"":null,""trustworthy_native"":4,""easy_native"":9,""fluent_native"":7,""strong_native"":7,""P1_Q0"":null,""irritated_native"":3,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":3,""annoyed_native"":3,""happy_native"":5,""P2_Q0"":null,""sociable_native"":4,""friendly_native"":7,""nice_native"":7,""honest_native"":7,""pleasant_native"":7,""P3_Q0"":null,""competent_native"":4,""smart_native"":4,""educated_native"":4,""intelligent_native"":4,""successful_native"":5}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","17","514601","0.0-18.0","0","100","35","15","20","35","35","15","15","35","","59537","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""Slovakia"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":3,""naturalness_nonnative"":6,""decision_making"":""Fairly but slightly more on ones that had potential"",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
