"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1366","651","true","chrome","117.0.0","false","Windows 10","true","60.41","true","true","browser-check","0","1004","0.0-0.0","100","0","20","30","35","15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3731","0.0-1.0","100","0","20","30","35","15","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","16819","0.0-2.0","100","0","20","30","35","15","","13004","{""prolific_id"":""631b80c8a2b5028527bd88d5"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","22202","0.0-4.0","100","0","20","30","35","15","","5383","","","[{""page_index"":0,""viewing_time"":5382}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","30821","0.0-5.0-0.0","100","0","20","30","35","15","","8480","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","45974","0.0-7.0","100","0","20","30","35","15","","15151","","","[{""page_index"":0,""viewing_time"":15151}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","46562","0.0-8.0","100","0","20","30","35","15","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","63793","0.0-9.0","100","0","20","30","35","15","","17229"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","110030","0.0-10.0","100","0","20","30","35","15","","111875","{""silversky"":""20""}","","","","","","","","firstbet","no","nonnative","disfluent","15","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","147741","0.0-11.0","100","0","20","30","35","15","","149540","{""silversky"":"""",""blackblade"":""30""}","","","","","","","","secondbet","no","native","disfluent","15","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","173198","0.0-12.0","100","0","20","30","35","15","","174959","{""silversky"":"""",""blackblade"":"""",""apocalypse"":""35""}","","","","","","","","thirdbet","no","nonnative","fluent","15","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","198710","0.0-13.0","100","0","20","30","35","15","","200446","{""silversky"":"""",""blackblade"":"""",""apocalypse"":"""",""firewalker"":""15""}","","","","","","","","forthbet","no","native","fluent","15","firewalker"
"","","","","","","","","","","","instructions","12","201417","0.0-15.0","100","0","20","30","35","15","","2704","","","[{""page_index"":0,""viewing_time"":2704}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","250921","0.0-16.0","100","0","20","30","35","15","","49425","{""P0_Q0"":null,""irritated_nonnative"":6,""interested_nonnative"":5,""enthusiastic_nonnative"":5,""frustrated_nonnative"":4,""annoyed_nonnative"":4,""happy_nonnative"":5,""P1_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":5,""P2_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":4,""fluent_nonnative"":4,""strong_nonnative"":7,""P3_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":5,""pleasant_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","301848","0.0-17.0","100","0","20","30","35","15","","50881","{""P0_Q0"":null,""trustworthy_native"":5,""easy_native"":9,""fluent_native"":9,""strong_native"":6,""P1_Q0"":null,""sociable_native"":5,""friendly_native"":6,""nice_native"":6,""honest_native"":5,""pleasant_native"":6,""P2_Q0"":null,""irritated_native"":2,""interested_native"":5,""enthusiastic_native"":5,""frustrated_native"":3,""annoyed_native"":3,""happy_native"":3,""P3_Q0"":null,""competent_native"":8,""smart_native"":8,""educated_native"":8,""intelligent_native"":8,""successful_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","379267","0.0-18.0","100","0","20","30","35","15","","77353","{""P0_Q0"":null,""country_native"":""Yorkshire"",""country_nonnative"":""India"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":9,""naturalness_nonnative"":3,""decision_making"":""Fairly equally"",""P2_Q4"":""Understanding speech"",""P2_Q5"":""N/A""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
