"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1366","657","true","chrome","109.0.0","false","Windows 10","true","60.58","true","true","browser-check","0","1023","0.0-0.0","100","0","20","20","20","40","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","5243","0.0-1.0","100","0","20","20","20","40","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","109776","0.0-2.0","100","0","20","20","20","40","","104023","{""prolific_id"":""5ecb75a89b41896d3d07e48c"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true},{""english_l1"":false},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","151182","0.0-4.0","100","0","20","20","20","40","","41401","","","[{""page_index"":0,""viewing_time"":41398}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","172334","0.0-5.0-0.0","100","0","20","20","20","40","","8429","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","205909","0.0-7.0","100","0","20","20","20","40","","33569","","","[{""page_index"":0,""viewing_time"":33568}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","207208","0.0-8.0","100","0","20","20","20","40","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","276373","0.0-9.0","100","0","20","20","20","40","","69161","t","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","327590","0.0-10.0","100","0","20","20","20","40","","332114","{""firewalker"":""20""}","","","","","","","","firstbet","no","native","fluent","7","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","373384","0.0-11.0","100","0","20","20","20","40","","377857","{""firewalker"":"""",""apocalypse"":""20""}","","","","","","","","secondbet","no","native","disfluent","7","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","417095","0.0-12.0","100","0","20","20","20","40","","421523","{""firewalker"":"""",""apocalypse"":"""",""blackblade"":""40""}","","","","","","","","thirdbet","no","nonnative","disfluent","7","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","457801","0.0-13.0","100","0","20","20","20","40","","462185","{""firewalker"":"""",""apocalypse"":"""",""blackblade"":""20"",""silversky"":""40""}","","","","","","","","forthbet","no","nonnative","fluent","7","silversky"
"","","","","","","","","","","","instructions","12","490838","0.0-15.0","100","0","20","20","20","40","","33029","","","[{""page_index"":0,""viewing_time"":33027}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","594557","0.0-16.0","100","0","20","20","20","40","","103341","{""P0_Q0"":null,""irritated_nonnative"":5,""interested_nonnative"":7,""enthusiastic_nonnative"":6,""frustrated_nonnative"":7,""annoyed_nonnative"":4,""happy_nonnative"":5,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":7,""nice_nonnative"":8,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":5,""intelligent_nonnative"":6,""successful_nonnative"":6,""P3_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":4,""fluent_nonnative"":4,""strong_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","700938","0.0-17.0","100","0","20","20","20","40","","106089","{""P0_Q0"":null,""competent_native"":4,""smart_native"":5,""educated_native"":4,""intelligent_native"":4,""successful_native"":4,""P1_Q0"":null,""irritated_native"":6,""interested_native"":4,""enthusiastic_native"":3,""frustrated_native"":6,""annoyed_native"":6,""happy_native"":4,""P2_Q0"":null,""sociable_native"":3,""friendly_native"":5,""nice_native"":5,""honest_native"":6,""pleasant_native"":5,""P3_Q0"":null,""trustworthy_native"":4,""easy_native"":7,""fluent_native"":6,""strong_native"":3}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","985568","0.0-18.0","100","0","20","20","20","40","","284384","{""P0_Q0"":null,""country_native"":""no"",""country_nonnative"":""France "",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":8,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":8,""naturalness_nonnative"":4,""decision_making"":""based mostly on the look of them"",""P2_Q4"":""to see what influences decisions "",""P2_Q5"":""it was hard to understand the non native speaker but it was more interesting to listen to.""}","[{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
