"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1280","571","true","chrome","116.0.0","false","Windows 10","true","61.72","true","true","browser-check","0","1712","0.0-0.0","100","0","10","40","20","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4813","0.0-1.0","100","0","10","40","20","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","17403","0.0-2.0","100","0","10","40","20","30","","12431","{""prolific_id"":""5e9f31ca9b0a040704ee0bad"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","24005","0.0-4.0","100","0","10","40","20","30","","6600","","","[{""page_index"":0,""viewing_time"":6600}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","32814","0.0-5.0-0.0","100","0","10","40","20","30","","8379","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","52874","0.0-7.0","100","0","10","40","20","30","","20059","","","[{""page_index"":0,""viewing_time"":20059}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","55141","0.0-8.0","100","0","10","40","20","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","75705","0.0-9.0","100","0","10","40","20","30","","20563"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","142157","0.0-10.0","100","0","10","40","20","30","","145539","{""silversky"":""20""}","","","","","","","","firstbet","no","native","disfluent","4","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","189735","0.0-11.0","100","0","10","40","20","30","","193051","{""silversky"":"""",""firewalker"":""40""}","","","","","","","","secondbet","no","nonnative","disfluent","4","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","220443","0.0-12.0","100","0","10","40","20","30","","223711","{""silversky"":"""",""firewalker"":"""",""apocalypse"":""20""}","","","","","","","","thirdbet","no","native","fluent","4","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","267237","0.0-13.0","100","0","10","40","20","30","","270476","{""silversky"":""10"",""firewalker"":"""",""apocalypse"":"""",""blackblade"":""30""}","","","","","","","","forthbet","no","nonnative","fluent","4","blackblade"
"","","","","","","","","","","","instructions","12","271245","0.0-15.0","100","0","10","40","20","30","","4006","","","[{""page_index"":0,""viewing_time"":4006}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","318171","0.0-16.0","100","0","10","40","20","30","","46872","{""P0_Q0"":null,""competent_native"":3,""smart_native"":3,""educated_native"":3,""intelligent_native"":2,""successful_native"":2,""P1_Q0"":null,""sociable_native"":2,""friendly_native"":2,""nice_native"":2,""honest_native"":3,""pleasant_native"":2,""P2_Q0"":null,""irritated_native"":4,""interested_native"":2,""enthusiastic_native"":2,""frustrated_native"":7,""annoyed_native"":6,""happy_native"":6,""P3_Q0"":null,""trustworthy_native"":2,""easy_native"":3,""fluent_native"":1,""strong_native"":2}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","361454","0.0-17.0","100","0","10","40","20","30","","43255","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":8,""strong_nonnative"":7,""P1_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":7,""enthusiastic_nonnative"":8,""frustrated_nonnative"":2,""annoyed_nonnative"":1,""happy_nonnative"":7,""P2_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":5,""educated_nonnative"":7,""intelligent_nonnative"":7,""successful_nonnative"":7,""P3_Q0"":null,""sociable_nonnative"":8,""friendly_nonnative"":6,""nice_nonnative"":7,""honest_nonnative"":8,""pleasant_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","418742","0.0-18.0","100","0","10","40","20","30","","57250","{""P0_Q0"":null,""country_native"":""the UK"",""country_nonnative"":""maybe Asia?"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":7,""decision_making"":""The native speaker paused a lot and delivered the info very poorly"",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false},{""P1_Q4"":true}]","","","","","","","survey_checks","","","","",""
