"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1564","926","true","chrome","117.0.0","false","Windows 10","true","60.42","true","true","browser-check","0","1005","0.0-0.0","70","0","20","15","20","15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4438","0.0-1.0","70","0","20","15","20","15","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","19267","0.0-2.0","70","0","20","15","20","15","","14730","{""prolific_id"":""5c46388a1ddd660001ca4d0b"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","32884","0.0-4.0","70","0","20","15","20","15","","13613","","","[{""page_index"":0,""viewing_time"":13610}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","38585","0.0-5.0-0.0","70","0","20","15","20","15","","5488","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","68459","0.0-7.0","70","0","20","15","20","15","","29872","","","[{""page_index"":0,""viewing_time"":29871}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","68804","0.0-8.0","70","0","20","15","20","15","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","102345","0.0-9.0","70","0","20","15","20","15","","33538"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","137916","0.0-10.0","70","0","20","15","20","15","","165524","{""apocalypse"":""20""}","","","","","","","","firstbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","9","183600","0.0-11.0","70","0","20","15","20","15","","211174","{""apocalypse"":"""",""silversky"":""15""}","","","","","","","","secondbet","no","nonnative","disfluent","2","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","212059","0.0-12.0","70","0","20","15","20","15","","239587","{""apocalypse"":"""",""silversky"":"""",""blackblade"":""20""}","","","","","","","","thirdbet","no","nonnative","fluent","2","blackblade"
"","","","","","","","","","","","audio-survey-input-response","11","257357","0.0-13.0","70","0","20","15","20","15","","284857","{""apocalypse"":"""",""silversky"":"""",""blackblade"":"""",""firewalker"":""15""}","","","","","","","","forthbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","instructions","12","265814","0.0-15.0","70","0","20","15","20","15","","8448","","","[{""page_index"":0,""viewing_time"":8446}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","336367","0.0-16.0","70","0","20","15","20","15","","70490","{""P0_Q0"":null,""sociable_native"":4,""friendly_native"":6,""nice_native"":6,""honest_native"":7,""pleasant_native"":6,""P1_Q0"":null,""competent_native"":6,""smart_native"":7,""educated_native"":5,""intelligent_native"":6,""successful_native"":6,""P2_Q0"":null,""irritated_native"":1,""interested_native"":6,""enthusiastic_native"":5,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":7,""P3_Q0"":null,""trustworthy_native"":6,""easy_native"":9,""fluent_native"":9,""strong_native"":8}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","412418","0.0-17.0","70","0","20","15","20","15","","76016","{""P0_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":3,""fluent_nonnative"":7,""strong_nonnative"":8,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":5,""nice_nonnative"":6,""honest_nonnative"":5,""pleasant_nonnative"":6,""P2_Q0"":null,""irritated_nonnative"":4,""interested_nonnative"":7,""enthusiastic_nonnative"":4,""frustrated_nonnative"":3,""annoyed_nonnative"":3,""happy_nonnative"":2,""P3_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":6,""educated_nonnative"":6,""intelligent_nonnative"":7,""successful_nonnative"":4}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","517018","0.0-18.0","70","0","20","15","20","15","","104563","{""P0_Q0"":null,""country_native"":""England"",""country_nonnative"":""Brazil"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":7,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":8,""naturalness_nonnative"":4,""decision_making"":""Based on relation to other races"",""P2_Q4"":""If we downplay the bet based on accents"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
