"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1345","634","true","edge-chromium","116.0.1938","false","Windows 10","true","61.04","true","true","browser-check","0","1003","0.0-0.0","100","0","10","20","40","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4344","0.0-1.0","100","0","10","20","40","30","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","18918","0.0-2.0","100","0","10","20","40","30","","14387","{""prolific_id"":""6447a191e6f993fbad421f5d"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","28178","0.0-4.0","100","0","10","20","40","30","","9258","","","[{""page_index"":0,""viewing_time"":9256}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","35157","0.0-5.0-0.0","100","0","10","20","40","30","","6739","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","57635","0.0-7.0","100","0","10","20","40","30","","22476","","","[{""page_index"":0,""viewing_time"":22475}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","58454","0.0-8.0","100","0","10","20","40","30","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","83732","0.0-9.0","100","0","10","20","40","30","","25274"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","126981","0.0-10.0","100","0","10","20","40","30","","130449","{""apocalypse"":""10""}","","","","","","","","firstbet","no","native","disfluent","10","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","9","169690","0.0-11.0","100","0","10","20","40","30","","173115","{""apocalypse"":"""",""firewalker"":""20""}","","","","","","","","secondbet","no","nonnative","disfluent","10","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","199818","0.0-12.0","100","0","10","20","40","30","","203201","{""apocalypse"":"""",""firewalker"":"""",""silversky"":""40""}","","","","","","","","thirdbet","no","native","fluent","10","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","226198","0.0-13.0","100","0","10","20","40","30","","229550","{""apocalypse"":"""",""firewalker"":"""",""silversky"":"""",""blackblade"":""30""}","","","","","","","","forthbet","no","nonnative","fluent","10","blackblade"
"","","","","","","","","","","","instructions","12","232922","0.0-15.0","100","0","10","20","40","30","","6720","","","[{""page_index"":0,""viewing_time"":6719}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","287027","0.0-16.0","100","0","10","20","40","30","","53916","{""P0_Q0"":null,""sociable_native"":3,""friendly_native"":4,""nice_native"":5,""honest_native"":6,""pleasant_native"":5,""P1_Q0"":null,""trustworthy_native"":6,""easy_native"":7,""fluent_native"":7,""strong_native"":7,""P2_Q0"":null,""competent_native"":5,""smart_native"":5,""educated_native"":5,""intelligent_native"":4,""successful_native"":3,""P3_Q0"":null,""irritated_native"":6,""interested_native"":3,""enthusiastic_native"":3,""frustrated_native"":6,""annoyed_native"":6,""happy_native"":4}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","327776","0.0-17.0","100","0","10","20","40","30","","40644","{""P0_Q0"":null,""sociable_nonnative"":7,""friendly_nonnative"":6,""nice_nonnative"":7,""honest_nonnative"":5,""pleasant_nonnative"":6,""P1_Q0"":null,""irritated_nonnative"":4,""interested_nonnative"":6,""enthusiastic_nonnative"":8,""frustrated_nonnative"":4,""annoyed_nonnative"":4,""happy_nonnative"":6,""P2_Q0"":null,""trustworthy_nonnative"":6,""easy_nonnative"":6,""fluent_nonnative"":6,""strong_nonnative"":6,""P3_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":7,""educated_nonnative"":6,""intelligent_nonnative"":6,""successful_nonnative"":7}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","403579","0.0-18.0","100","0","10","20","40","30","","75722","{""P0_Q0"":null,""country_native"":""Birmingham"",""country_nonnative"":""Spain"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":8,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":3,""naturalness_nonnative"":3,""decision_making"":""Based on what the speaker was saying about the horses past performance."",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
